Name;Station;Time(norwegian mean time);Snow depth
Hornsund;SN99754;19.12.1996;12
Hornsund;SN99754;20.12.1996;12
Hornsund;SN99754;21.12.1996;12
Hornsund;SN99754;22.12.1996;12
Hornsund;SN99754;24.12.1996;12
Hornsund;SN99754;25.12.1996;15
Hornsund;SN99754;26.12.1996;14
Hornsund;SN99754;27.12.1996;14
Hornsund;SN99754;28.12.1996;14
Hornsund;SN99754;29.12.1996;14
Hornsund;SN99754;30.12.1996;22
Hornsund;SN99754;31.12.1996;19
Hornsund;SN99754;01.01.1997;19
Hornsund;SN99754;02.01.1997;20
Hornsund;SN99754;03.01.1997;20
Hornsund;SN99754;04.01.1997;20
Hornsund;SN99754;05.01.1997;20
Hornsund;SN99754;06.01.1997;19
Hornsund;SN99754;07.01.1997;19
Hornsund;SN99754;08.01.1997;30
Hornsund;SN99754;09.01.1997;28
Hornsund;SN99754;10.01.1997;26
Hornsund;SN99754;11.01.1997;26
Hornsund;SN99754;12.01.1997;26
Hornsund;SN99754;13.01.1997;27
Hornsund;SN99754;14.01.1997;28
Hornsund;SN99754;15.01.1997;35
Hornsund;SN99754;18.01.1997;36
Hornsund;SN99754;19.01.1997;37
Hornsund;SN99754;20.01.1997;32
Hornsund;SN99754;21.01.1997;32
Hornsund;SN99754;22.01.1997;32
Hornsund;SN99754;23.01.1997;32
Hornsund;SN99754;24.01.1997;32
Hornsund;SN99754;25.01.1997;25
Hornsund;SN99754;26.01.1997;22
Hornsund;SN99754;27.01.1997;24
Hornsund;SN99754;28.01.1997;30
Hornsund;SN99754;29.01.1997;35
Hornsund;SN99754;31.01.1997;30
Hornsund;SN99754;01.02.1997;32
Hornsund;SN99754;02.02.1997;37
Hornsund;SN99754;03.02.1997;30
Hornsund;SN99754;04.02.1997;28
Hornsund;SN99754;05.02.1997;25
Hornsund;SN99754;06.02.1997;26
Hornsund;SN99754;07.02.1997;26
Hornsund;SN99754;09.02.1997;26
Hornsund;SN99754;13.02.1997;26
Hornsund;SN99754;14.02.1997;30
Hornsund;SN99754;15.02.1997;30
Hornsund;SN99754;18.02.1997;62
Hornsund;SN99754;19.02.1997;55
Hornsund;SN99754;21.02.1997;45
Hornsund;SN99754;23.02.1997;33
Hornsund;SN99754;24.02.1997;35
Hornsund;SN99754;25.02.1997;35
Hornsund;SN99754;27.02.1997;35
Hornsund;SN99754;28.02.1997;35
Hornsund;SN99754;01.03.1997;35
Hornsund;SN99754;02.03.1997;35
Hornsund;SN99754;03.03.1997;36
Hornsund;SN99754;05.03.1997;34
Hornsund;SN99754;06.03.1997;43
Hornsund;SN99754;15.03.1997;49
Hornsund;SN99754;22.03.1997;47
Hornsund;SN99754;24.03.1997;46
Hornsund;SN99754;25.03.1997;52
Hornsund;SN99754;26.03.1997;52
Hornsund;SN99754;27.03.1997;50
Hornsund;SN99754;28.03.1997;47
Hornsund;SN99754;29.03.1997;45
Hornsund;SN99754;30.03.1997;44
Hornsund;SN99754;31.03.1997;43
Hornsund;SN99754;01.04.1997;42
Hornsund;SN99754;02.04.1997;41
Hornsund;SN99754;03.04.1997;41
Hornsund;SN99754;04.04.1997;40
Hornsund;SN99754;05.04.1997;40
Hornsund;SN99754;06.04.1997;37
Hornsund;SN99754;08.04.1997;34
Hornsund;SN99754;09.04.1997;33
Hornsund;SN99754;10.04.1997;32
Hornsund;SN99754;11.04.1997;31
Hornsund;SN99754;12.04.1997;32
Hornsund;SN99754;14.04.1997;32
Hornsund;SN99754;15.04.1997;31
Hornsund;SN99754;16.04.1997;37
Hornsund;SN99754;17.04.1997;32
Hornsund;SN99754;18.04.1997;31
Hornsund;SN99754;19.04.1997;30
Hornsund;SN99754;20.04.1997;30
Hornsund;SN99754;21.04.1997;30
Hornsund;SN99754;22.04.1997;31
Hornsund;SN99754;23.04.1997;39
Hornsund;SN99754;24.04.1997;36
Hornsund;SN99754;25.04.1997;33
Hornsund;SN99754;26.04.1997;33
Hornsund;SN99754;27.04.1997;33
Hornsund;SN99754;28.04.1997;33
Hornsund;SN99754;29.04.1997;33
Hornsund;SN99754;30.04.1997;33
Hornsund;SN99754;01.05.1997;30
Hornsund;SN99754;03.05.1997;62
Hornsund;SN99754;04.05.1997;32
Hornsund;SN99754;05.05.1997;30
Hornsund;SN99754;06.05.1997;29
Hornsund;SN99754;07.05.1997;29
Hornsund;SN99754;08.05.1997;25
Hornsund;SN99754;09.05.1997;23
Hornsund;SN99754;11.05.1997;21
Hornsund;SN99754;12.05.1997;20
Hornsund;SN99754;13.05.1997;20
Hornsund;SN99754;14.05.1997;20
Hornsund;SN99754;15.05.1997;20
Hornsund;SN99754;16.05.1997;20
Hornsund;SN99754;17.05.1997;20
Hornsund;SN99754;18.05.1997;20
Hornsund;SN99754;19.05.1997;20
Hornsund;SN99754;20.05.1997;20
Hornsund;SN99754;21.05.1997;22
Hornsund;SN99754;22.05.1997;23
Hornsund;SN99754;23.05.1997;25
Hornsund;SN99754;24.05.1997;31
Hornsund;SN99754;25.05.1997;39
Hornsund;SN99754;26.05.1997;29
Hornsund;SN99754;27.05.1997;27
Hornsund;SN99754;28.05.1997;26
Hornsund;SN99754;29.05.1997;25
Hornsund;SN99754;30.05.1997;23
Hornsund;SN99754;31.05.1997;19
Hornsund;SN99754;01.06.1997;19
Hornsund;SN99754;02.06.1997;16
Hornsund;SN99754;03.06.1997;15
Hornsund;SN99754;04.06.1997;14
Hornsund;SN99754;05.06.1997;14
Hornsund;SN99754;06.06.1997;14
Hornsund;SN99754;07.06.1997;13
Hornsund;SN99754;08.06.1997;13
Hornsund;SN99754;09.06.1997;12
